DATA;HORA;PRECIPITACAO_TOTAL;PRESSAO_ATMOSFERICA_NA_ESTACAO;IRRADICAO_GLOBAL;TEMPERATURA_AR;TEMPERATURA_MAX;TEMPERATURA_MIN;DIRECAO_VENTO;RAJADA_MAX_VENTO;VELOCIDADE_VENTO
2006-03-13;10;0.0;911.3;90.0;16.2;16.2;15.0;88;0.0;0.0
2006-03-13;11;0.0;911.8;449.0;16.5;16.7;16.2;68;3.2;2.0
2006-03-13;12;0.0;912.1;1255.0;19.0;19.1;16.5;62;4.3;2.4
2006-03-13;13;0.0;912.4;1168.0;20.5;21.0;18.6;58;6.4;3.8
2006-03-13;14;0.0;912.5;1494.0;21.5;22.0;20.3;55;7.4;2.8
2006-03-13;15;0.0;912.0;2038.0;23.1;23.8;21.5;65;6.3;3.6
2006-03-13;16;0.0;911.4;1904.0;24.7;24.8;22.8;57;6.6;2.1
2006-03-13;17;0.0;910.8;1545.0;23.6;24.9;23.5;98;6.3;3.1
2006-03-13;18;0.0;910.1;2161.0;24.7;25.5;23.6;112;6.4;2.9
2006-03-13;19;0.0;909.9;1112.0;22.9;25.2;22.8;113;8.6;4.6
2006-03-13;20;0.0;910.0;592.0;22.0;22.9;21.9;100;8.6;3.4
2006-03-13;21;0.0;910.2;716.0;21.2;22.4;21.2;106;7.9;4.1
2006-03-14;10;0.0;912.3;67.0;14.9;15.0;14.5;281;0.0;0.0
2006-03-14;11;0.0;912.9;626.0;17.7;17.7;14.9;357;2.5;0.9
2006-03-14;12;0.0;913.2;1410.0;20.3;20.3;17.7;63;4.0;2.1
2006-03-14;13;0.0;913.0;2152.0;21.2;21.7;19.7;64;4.9;3.1
2006-03-14;14;0.0;912.7;2936.0;23.1;23.6;21.2;39;6.8;2.6
2006-03-14;15;0.0;912.2;3159.0;23.9;24.7;22.8;26;6.1;2.5
2006-03-14;16;0.0;911.7;2837.0;24.9;25.7;23.8;27;6.8;1.4
2006-03-14;17;0.0;910.9;2797.0;26.5;26.5;24.7;119;5.5;1.6
2006-03-14;18;0.0;910.3;1578.0;25.9;27.0;25.1;97;4.9;1.6
2006-03-14;19;0.0;909.9;1748.0;25.9;27.0;25.7;101;6.3;3.5
2006-03-14;20;0.0;910.0;1087.0;24.8;25.9;24.5;88;6.4;3.4
2006-03-14;21;0.0;910.4;538.0;22.8;24.8;22.8;97;6.5;4.0
2006-03-15;10;0.0;912.2;64.0;17.4;17.4;16.8;78;2.1;1.1
2006-03-15;11;0.0;912.7;421.0;18.0;18.3;17.4;20;3.0;1.5
2006-03-15;12;0.0;912.9;1098.0;19.0;19.6;17.9;23;3.8;1.8
2006-03-15;13;0.0;912.6;1858.0;21.2;21.7;19.0;71;5.2;2.0
2006-03-15;14;0.0;912.3;2888.0;23.6;23.7;21.0;77;5.8;1.9
2006-03-15;15;0.0;911.9;3224.0;25.0;25.2;23.1;50;5.0;3.0
2006-03-15;16;0.0;911.3;3339.0;25.8;26.4;24.9;16;5.9;2.0
2006-03-15;17;0.0;910.7;3233.0;27.2;27.2;25.7;125;7.1;1.4
2006-03-15;18;0.0;910.0;2777.0;27.3;28.1;27.0;100;3.9;1.4
2006-03-15;19;0.0;909.4;1130.0;26.6;28.2;26.3;206;4.0;0.5
2006-03-15;20;0.0;909.3;1003.0;27.0;27.3;26.1;214;4.5;1.7
2006-03-15;21;0.0;909.5;501.0;24.1;27.3;24.1;103;5.6;3.5
2006-03-16;10;0.2;911.8;50.0;16.4;16.7;16.3;76;2.0;1.2
2006-03-16;11;0.0;912.4;303.0;16.8;16.8;16.3;358;2.1;0.9
2006-03-16;12;0.0;912.8;1496.0;20.6;20.6;16.8;100;2.9;1.8
2006-03-16;13;0.0;913.2;2174.0;22.5;22.6;20.6;66;3.7;1.8
2006-03-16;14;0.0;913.0;2578.0;24.0;24.0;22.4;25;5.5;1.6
2006-03-16;15;0.0;912.5;2511.0;24.8;25.0;23.8;89;4.8;1.7
2006-03-16;16;0.0;911.7;3398.0;27.1;27.1;24.6;53;4.8;1.9
2006-03-16;17;0.0;911.2;2442.0;26.8;27.8;26.0;67;6.1;3.3
2006-03-16;18;0.0;910.4;2539.0;27.4;27.7;26.6;63;6.5;2.8
2006-03-16;19;0.0;909.9;2058.0;28.0;28.1;26.6;106;5.2;2.5
2006-03-16;20;0.0;909.6;1374.0;27.7;28.3;27.5;109;5.1;2.6
2006-03-16;21;0.0;909.8;597.0;24.6;27.9;24.6;99;7.0;3.7
2006-03-17;10;0.0;911.5;37.0;19.3;19.3;18.8;74;3.7;1.7
2006-03-17;11;0.0;911.9;443.0;21.5;21.6;19.3;68;3.6;1.6
2006-03-17;12;0.0;912.3;1201.0;23.2;23.3;21.5;54;5.2;3.0
2006-03-17;13;0.0;912.2;1430.0;23.0;23.8;22.3;41;6.9;3.1
2006-03-17;14;0.0;911.8;2089.0;25.1;25.6;23.0;60;7.3;4.4
2006-03-17;15;0.0;911.2;2393.0;25.7;26.7;24.9;41;8.2;3.7
2006-03-17;16;0.0;910.5;2673.0;27.3;27.9;25.6;32;7.0;3.8
2006-03-17;17;0.0;909.7;2519.0;27.6;28.2;27.0;26;7.0;3.6
2006-03-17;18;0.0;909.1;2550.0;28.8;28.8;27.3;45;8.1;3.5
2006-03-17;19;0.0;909.2;1367.0;27.5;29.1;27.5;39;7.5;3.5
2006-03-17;20;0.0;909.3;748.0;27.2;28.0;27.1;23;6.9;2.4
2006-03-17;21;0.0;909.7;517.0;25.8;27.6;25.8;98;5.9;3.1
